"term_id","termino","area","definicion_corta","definicion_tecnica","ejemplo","no_confundir_con","relaciones","nivel_confianza","fuentes","version","fecha_revision"
"PSY-00011","Trastorno de estrés postraumático","Psicología Clínica","Secuelas de reexperimentación, evitación e hiperactivación tras trauma","Desde la perspectiva clínica, secuelas de reexperimentación, evitación e hiperactivación tras trauma. Relevante para trastorno de estrés postraumático en psicología clínica.","Un paciente presenta trastorno de estrés postraumático y requiere evaluación clínica para diagnóstico y tratamiento.","","","alto","APA (2022). DSM-5-TR.; Beck (2011). Cognitive Therapy.","2.0.0","2026-03-29"
"PSY-00012","Trastorno de la personalidad límite","Psicología Clínica","Inestabilidad en relaciones, autoimagen, afecto e impulsividad","Desde la perspectiva clínica, inestabilidad en relaciones, autoimagen, afecto e impulsividad. Relevante para trastorno de la personalidad límite en psicología clínica.","Un paciente presenta trastorno de la personalidad límite y requiere evaluación clínica para diagnóstico y tratamiento.","","","alto","APA (2022). DSM-5-TR.; Beck (2011). Cognitive Therapy.","2.0.0","2026-03-29"
"PSY-00013","Personalidad narcisista","Psicología Clínica","Grandiosidad, necesidad de admiración y falta de empatía persistentes","Desde la perspectiva clínica, grandiosidad, necesidad de admiración y falta de empatía persistentes. Relevante para personalidad narcisista en psicología clínica.","Un paciente presenta personalidad narcisista y requiere evaluación clínica para diagnóstico y tratamiento.","","","alto","APA (2022). DSM-5-TR.; Beck (2011). Cognitive Therapy.","2.0.0","2026-03-29"
"PSY-00014","Personalidad paranoide","Psicología Clínica","Desconfianza y suspicacia generalizadas hacia los demás","Desde la perspectiva clínica, desconfianza y suspicacia generalizadas hacia los demás. Relevante para personalidad paranoide en psicología clínica.","Un paciente presenta personalidad paranoide y requiere evaluación clínica para diagnóstico y tratamiento.","","","alto","APA (2022). DSM-5-TR.; Beck (2011). Cognitive Therapy.","2.0.0","2026-03-29"
"PSY-00015","Personalidad antisocial","Psicología Clínica","Patrón de desprecio por derechos ajenos y normas sociales","Desde la perspectiva clínica, patrón de desprecio por derechos ajenos y normas sociales. Relevante para personalidad antisocial en psicología clínica.","Un paciente presenta personalidad antisocial y requiere evaluación clínica para diagnóstico y tratamiento.","","","alto","APA (2022). DSM-5-TR.; Beck (2011). Cognitive Therapy.","2.0.0","2026-03-29"
"PSY-00016","Personalidad dependiente","Psicología Clínica","Necesidad excesiva de ser cuidado con conducta sumisa","Desde la perspectiva clínica, necesidad excesiva de ser cuidado con conducta sumisa. Relevante para personalidad dependiente en psicología clínica.","Un paciente presenta personalidad dependiente y requiere evaluación clínica para diagnóstico y tratamiento.","","","alto","APA (2022). DSM-5-TR.; Beck (2011). Cognitive Therapy.","2.0.0","2026-03-29"
"PSY-00017","Personalidad esquizoide","Psicología Clínica","Desapego social y restricción emocional pervasivos","Desde la perspectiva clínica, desapego social y restricción emocional pervasivos. Relevante para personalidad esquizoide en psicología clínica.","Un paciente presenta personalidad esquizoide y requiere evaluación clínica para diagnóstico y tratamiento.","","","alto","APA (2022). DSM-5-TR.; Beck (2011). Cognitive Therapy.","2.0.0","2026-03-29"
"PSY-00018","Personalidad esquizotípica","Psicología Clínica","Excentricidades, distorsiones cognitivas y dificultades relacionales","Desde la perspectiva clínica, excentricidades, distorsiones cognitivas y dificultades relacionales. Relevante para personalidad esquizotípica en psicología clínica.","Un paciente presenta personalidad esquizotípica y requiere evaluación clínica para diagnóstico y tratamiento.","","","alto","APA (2022). DSM-5-TR.; Beck (2011). Cognitive Therapy.","2.0.0","2026-03-29"
"PSY-00019","Personalidad histriónica","Psicología Clínica","Emotividad excesiva y búsqueda constante de atención","Desde la perspectiva clínica, emotividad excesiva y búsqueda constante de atención. Relevante para personalidad histriónica en psicología clínica.","Un paciente presenta personalidad histriónica y requiere evaluación clínica para diagnóstico y tratamiento.","","","alto","APA (2022). DSM-5-TR.; Beck (2011). Cognitive Therapy.","2.0.0","2026-03-29"
"PSY-00020","Personalidad obsesivo-compulsiva","Psicología Clínica","Preocupación excesiva por orden, perfeccionismo y control","Desde la perspectiva clínica, preocupación excesiva por orden, perfeccionismo y control. Relevante para personalidad obsesivo-compulsiva en psicología clínica.","Un paciente presenta personalidad obsesivo-compulsiva y requiere evaluación clínica para diagnóstico y tratamiento.","","","alto","APA (2022). DSM-5-TR.; Beck (2011). Cognitive Therapy.","2.0.0","2026-03-29"
"PSY-00021","Personalidad evitativa","Psicología Clínica","Inhibición social, inadecuación e hipersensibilidad","Desde la perspectiva clínica, inhibición social, inadecuación e hipersensibilidad. Relevante para personalidad evitativa en psicología clínica.","Un paciente presenta personalidad evitativa y requiere evaluación clínica para diagnóstico y tratamiento.","","","alto","APA (2022). DSM-5-TR.; Beck (2011). Cognitive Therapy.","2.0.0","2026-03-29"
"PSY-00022","Anorexia nerviosa","Psicología Clínica","Restricción alimentaria severa con miedo intenso a ganar peso","Desde la perspectiva clínica, restricción alimentaria severa con miedo intenso a ganar peso. Relevante para anorexia nerviosa en psicología clínica.","Un paciente presenta anorexia nerviosa y requiere evaluación clínica para diagnóstico y tratamiento.","","","alto","APA (2022). DSM-5-TR.; Beck (2011). Cognitive Therapy.","2.0.0","2026-03-29"
"PSY-00023","Bulimia nerviosa","Psicología Clínica","Atracones seguidos de conductas compensatorias","Desde la perspectiva clínica, atracones seguidos de conductas compensatorias. Relevante para bulimia nerviosa en psicología clínica.","Un paciente presenta bulimia nerviosa y requiere evaluación clínica para diagnóstico y tratamiento.","","","alto","APA (2022). DSM-5-TR.; Beck (2011). Cognitive Therapy.","2.0.0","2026-03-29"
"PSY-00024","Trastorno por atracón","Psicología Clínica","Episodios recurrentes de ingesta excesiva sin compensación","Desde la perspectiva clínica, episodios recurrentes de ingesta excesiva sin compensación. Relevante para trastorno por atracón en psicología clínica.","Un paciente presenta trastorno por atracón y requiere evaluación clínica para diagnóstico y tratamiento.","","","alto","APA (2022). DSM-5-TR.; Beck (2011). Cognitive Therapy.","2.0.0","2026-03-29"
"PSY-00025","Trastorno por déficit de atención","Psicología Clínica","Inatención, hiperactividad e impulsividad que interfiere con funcionamiento","Desde la perspectiva clínica, inatención, hiperactividad e impulsividad que interfiere con funcionamiento. Relevante para trastorno por déficit de atención en psicología clínica.","Un paciente presenta trastorno por déficit de atención y requiere evaluación clínica para diagnóstico y tratamiento.","","","alto","APA (2022). DSM-5-TR.; Beck (2011). Cognitive Therapy.","2.0.0","2026-03-29"
"PSY-00026","Espectro autista","Psicología Clínica","Dificultades sociocomunicativas y patrones de conducta restringidos","Desde la perspectiva clínica, dificultades sociocomunicativas y patrones de conducta restringidos. Relevante para espectro autista en psicología clínica.","Un paciente presenta espectro autista y requiere evaluación clínica para diagnóstico y tratamiento.","","","alto","APA (2022). DSM-5-TR.; Beck (2011). Cognitive Therapy.","2.0.0","2026-03-29"
"PSY-00027","Trastorno de identidad disociativo","Psicología Clínica","Dos o más identidades que controlan la conducta alternadamente","Desde la perspectiva clínica, dos o más identidades que controlan la conducta alternadamente. Relevante para trastorno de identidad disociativo en psicología clínica.","Un paciente presenta trastorno de identidad disociativo y requiere evaluación clínica para diagnóstico y tratamiento.","","","alto","APA (2022). DSM-5-TR.; Beck (2011). Cognitive Therapy.","2.0.0","2026-03-29"
"PSY-00028","Amnesia disociativa","Psicología Clínica","Incapacidad de recordar información autobiográfica por disociación","Desde la perspectiva clínica, incapacidad de recordar información autobiográfica por disociación. Relevante para amnesia disociativa en psicología clínica.","Un paciente presenta amnesia disociativa y requiere evaluación clínica para diagnóstico y tratamiento.","","","alto","APA (2022). DSM-5-TR.; Beck (2011). Cognitive Therapy.","2.0.0","2026-03-29"
"PSY-00029","Depersonalización","Psicología Clínica","Sensación de extrañeza o irrealidad respecto a uno mismo","Desde la perspectiva clínica, sensación de extrañeza o irrealidad respecto a uno mismo. Relevante para depersonalización en psicología clínica.","Un paciente presenta depersonalización y requiere evaluación clínica para diagnóstico y tratamiento.","","","alto","APA (2022). DSM-5-TR.; Beck (2011). Cognitive Therapy.","2.0.0","2026-03-29"
"PSY-00030","Desrealización","Psicología Clínica","Sensación de que el entorno es irreal o distorsionado","Desde la perspectiva clínica, sensación de que el entorno es irreal o distorsionado. Relevante para desrealización en psicología clínica.","Un paciente presenta desrealización y requiere evaluación clínica para diagnóstico y tratamiento.","","","alto","APA (2022). DSM-5-TR.; Beck (2011). Cognitive Therapy.","2.0.0","2026-03-29"
"PSY-00031","Hipocondría","Psicología Clínica","Preocupación excesiva por padecer una enfermedad grave","Desde la perspectiva clínica, preocupación excesiva por padecer una enfermedad grave. Relevante para hipocondría en psicología clínica.","Un paciente presenta hipocondría y requiere evaluación clínica para diagnóstico y tratamiento.","","","alto","APA (2022). DSM-5-TR.; Beck (2011). Cognitive Therapy.","2.0.0","2026-03-29"
"PSY-00032","Trastorno conversivo","Psicología Clínica","Síntomas neurológicos funcionales sin causa orgánica","Desde la perspectiva clínica, síntomas neurológicos funcionales sin causa orgánica. Relevante para trastorno conversivo en psicología clínica.","Un paciente presenta trastorno conversivo y requiere evaluación clínica para diagnóstico y tratamiento.","","","alto","APA (2022). DSM-5-TR.; Beck (2011). Cognitive Therapy.","2.0.0","2026-03-29"
"PSY-00033","Distimia","Psicología Clínica","Depresión persistente de menor intensidad pero curso crónico","Desde la perspectiva clínica, depresión persistente de menor intensidad pero curso crónico. Relevante para distimia en psicología clínica.","Un paciente presenta distimia y requiere evaluación clínica para diagnóstico y tratamiento.","","","alto","APA (2022). DSM-5-TR.; Beck (2011). Cognitive Therapy.","2.0.0","2026-03-29"
"PSY-00034","Ciclotimia","Psicología Clínica","Fluctuaciones crónicas entre hipomanía y depresión leve","Desde la perspectiva clínica, fluctuaciones crónicas entre hipomanía y depresión leve. Relevante para ciclotimia en psicología clínica.","Un paciente presenta ciclotimia y requiere evaluación clínica para diagnóstico y tratamiento.","","","alto","APA (2022). DSM-5-TR.; Beck (2011). Cognitive Therapy.","2.0.0","2026-03-29"
"PSY-00035","Psicosis breve","Psicología Clínica","Episodio psicótico menor a un mes con recuperación completa","Desde la perspectiva clínica, episodio psicótico menor a un mes con recuperación completa. Relevante para psicosis breve en psicología clínica.","Un paciente presenta psicosis breve y requiere evaluación clínica para diagnóstico y tratamiento.","","","alto","APA (2022). DSM-5-TR.; Beck (2011). Cognitive Therapy.","2.0.0","2026-03-29"
"PSY-00036","Trastorno esquizoafectivo","Psicología Clínica","Coexistencia de síntomas psicóticos y afectivos","Desde la perspectiva clínica, coexistencia de síntomas psicóticos y afectivos. Relevante para trastorno esquizoafectivo en psicología clínica.","Un paciente presenta trastorno esquizoafectivo y requiere evaluación clínica para diagnóstico y tratamiento.","","","alto","APA (2022). DSM-5-TR.; Beck (2011). Cognitive Therapy.","2.0.0","2026-03-29"
"PSY-00037","Trastorno delirante","Psicología Clínica","Delirios no bizarros sin otros síntomas psicóticos prominentes","Desde la perspectiva clínica, delirios no bizarros sin otros síntomas psicóticos prominentes. Relevante para trastorno delirante en psicología clínica.","Un paciente presenta trastorno delirante y requiere evaluación clínica para diagnóstico y tratamiento.","","","alto","APA (2022). DSM-5-TR.; Beck (2011). Cognitive Therapy.","2.0.0","2026-03-29"
"PSY-00038","Ludopatía","Psicología Clínica","Control de impulsos alterado con juego patológico recurrente","Desde la perspectiva clínica, control de impulsos alterado con juego patológico recurrente. Relevante para ludopatía en psicología clínica.","Un paciente presenta ludopatía y requiere evaluación clínica para diagnóstico y tratamiento.","","","alto","APA (2022). DSM-5-TR.; Beck (2011). Cognitive Therapy.","2.0.0","2026-03-29"
"PSY-00039","Cleptomanía","Psicología Clínica","Impulso irresistible de robar objetos innecesarios","Desde la perspectiva clínica, impulso irresistible de robar objetos innecesarios. Relevante para cleptomanía en psicología clínica.","Un paciente presenta cleptomanía y requiere evaluación clínica para diagnóstico y tratamiento.","","","alto","APA (2022). DSM-5-TR.; Beck (2011). Cognitive Therapy.","2.0.0","2026-03-29"
"PSY-00040","Piromanía","Psicología Clínica","Impulso recurrente de provocar incendios","Desde la perspectiva clínica, impulso recurrente de provocar incendios. Relevante para piromanía en psicología clínica.","Un paciente presenta piromanía y requiere evaluación clínica para diagnóstico y tratamiento.","","","alto","APA (2022). DSM-5-TR.; Beck (2011). Cognitive Therapy.","2.0.0","2026-03-29"
"PSY-00041","Tricotilomanía","Psicología Clínica","Impulso recurrente de arrancarse el cabello","Desde la perspectiva clínica, impulso recurrente de arrancarse el cabello. Relevante para tricotilomanía en psicología clínica.","Un paciente presenta tricotilomanía y requiere evaluación clínica para diagnóstico y tratamiento.","","","alto","APA (2022). DSM-5-TR.; Beck (2011). Cognitive Therapy.","2.0.0","2026-03-29"
"PSY-00042","Brote psicótico","Psicología Clínica","Episodio agudo de pérdida de contacto con la realidad","Desde la perspectiva clínica, episodio agudo de pérdida de contacto con la realidad. Relevante para brote psicótico en psicología clínica.","Un paciente presenta brote psicótico y requiere evaluación clínica para diagnóstico y tratamiento.","","","alto","APA (2022). DSM-5-TR.; Beck (2011). Cognitive Therapy.","2.0.0","2026-03-29"
"PSY-00043","Catatonia","Psicología Clínica","Síndrome psicomotor con inmovilidad, mutismo o agitación extrema","Desde la perspectiva clínica, síndrome psicomotor con inmovilidad, mutismo o agitación extrema. Relevante para catatonia en psicología clínica.","Un paciente presenta catatonia y requiere evaluación clínica para diagnóstico y tratamiento.","","","alto","APA (2022). DSM-5-TR.; Beck (2011). Cognitive Therapy.","2.0.0","2026-03-29"
"PSY-00044","Indefensión aprendida","Psicología Clínica","Pasividad adquirida tras exposición a situaciones incontrolables","Desde la perspectiva clínica, pasividad adquirida tras exposición a situaciones incontrolables. Relevante para indefensión aprendida en psicología clínica.","Un paciente presenta indefensión aprendida y requiere evaluación clínica para diagnóstico y tratamiento.","","","alto","APA (2022). DSM-5-TR.; Beck (2011). Cognitive Therapy.","2.0.0","2026-03-29"
"PSY-00045","Alexitimia","Psicología Clínica","Dificultad para identificar y describir las propias emociones","Desde la perspectiva clínica, dificultad para identificar y describir las propias emociones. Relevante para alexitimia en psicología clínica.","Un paciente presenta alexitimia y requiere evaluación clínica para diagnóstico y tratamiento.","","","alto","APA (2022). DSM-5-TR.; Beck (2011). Cognitive Therapy.","2.0.0","2026-03-29"
"PSY-00046","Anhedonia","Psicología Clínica","Incapacidad de experimentar placer en actividades habitualmente gratificantes","Desde la perspectiva clínica, incapacidad de experimentar placer en actividades habitualmente gratificantes. Relevante para anhedonia en psicología clínica.","Un paciente presenta anhedonia y requiere evaluación clínica para diagnóstico y tratamiento.","","","alto","APA (2022). DSM-5-TR.; Beck (2011). Cognitive Therapy.","2.0.0","2026-03-29"
"PSY-00047","Codependencia","Psicología Clínica","Dependencia emocional excesiva y cuidado compulsivo del otro","Desde la perspectiva clínica, dependencia emocional excesiva y cuidado compulsivo del otro. Relevante para codependencia en psicología clínica.","Un paciente presenta codependencia y requiere evaluación clínica para diagnóstico y tratamiento.","","","alto","APA (2022). DSM-5-TR.; Beck (2011). Cognitive Therapy.","2.0.0","2026-03-29"
"PSY-00048","Abreacción","Psicología Clínica","Descarga emocional asociada a evocación de recuerdo traumático","Desde la perspectiva clínica, descarga emocional asociada a evocación de recuerdo traumático. Relevante para abreacción en psicología clínica.","Un paciente presenta abreacción y requiere evaluación clínica para diagnóstico y tratamiento.","","","alto","APA (2022). DSM-5-TR.; Beck (2011). Cognitive Therapy.","2.0.0","2026-03-29"
"PSY-00049","Acting out","Psicología Clínica","Expresión de conflictos inconscientes mediante conductas impulsivas","Desde la perspectiva clínica, expresión de conflictos inconscientes mediante conductas impulsivas. Relevante para acting out en psicología clínica.","Un paciente presenta acting out y requiere evaluación clínica para diagnóstico y tratamiento.","","","alto","APA (2022). DSM-5-TR.; Beck (2011). Cognitive Therapy.","2.0.0","2026-03-29"
"PSY-00050","Adicción conductual","Psicología Clínica","Dependencia de comportamientos sin sustancia","Desde la perspectiva clínica, dependencia de comportamientos sin sustancia. Relevante para adicción conductual en psicología clínica.","Un paciente presenta adicción conductual y requiere evaluación clínica para diagnóstico y tratamiento.","","","alto","APA (2022). DSM-5-TR.; Beck (2011). Cognitive Therapy.","2.0.0","2026-03-29"
"PSY-00051","Agitación psicomotora","Psicología Clínica","Inquietud física y mental excesiva","Desde la perspectiva clínica, inquietud física y mental excesiva. Relevante para agitación psicomotora en psicología clínica.","Un paciente presenta agitación psicomotora y requiere evaluación clínica para diagnóstico y tratamiento.","","","alto","APA (2022). DSM-5-TR.; Beck (2011). Cognitive Therapy.","2.0.0","2026-03-29"
"PSY-00052","Aislamiento afectivo","Psicología Clínica","Separación defensiva entre ideación y carga emocional","Desde la perspectiva clínica, separación defensiva entre ideación y carga emocional. Relevante para aislamiento afectivo en psicología clínica.","Un paciente presenta aislamiento afectivo y requiere evaluación clínica para diagnóstico y tratamiento.","","","alto","APA (2022). DSM-5-TR.; Beck (2011). Cognitive Therapy.","2.0.0","2026-03-29"
"PSY-00053","Alcoholismo","Psicología Clínica","Dependencia crónica del alcohol con deterioro funcional","Desde la perspectiva clínica, dependencia crónica del alcohol con deterioro funcional. Relevante para alcoholismo en psicología clínica.","Un paciente presenta alcoholismo y requiere evaluación clínica para diagnóstico y tratamiento.","","","alto","APA (2022). DSM-5-TR.; Beck (2011). Cognitive Therapy.","2.0.0","2026-03-29"
"PSY-00054","Alucinación auditiva","Psicología Clínica","Percepción de sonidos sin estímulo externo real","Desde la perspectiva clínica, percepción de sonidos sin estímulo externo real. Relevante para alucinación auditiva en psicología clínica.","Un paciente presenta alucinación auditiva y requiere evaluación clínica para diagnóstico y tratamiento.","","","alto","APA (2022). DSM-5-TR.; Beck (2011). Cognitive Therapy.","2.0.0","2026-03-29"
"PSY-00055","Alucinación visual","Psicología Clínica","Percepción de imágenes sin estímulo visual externo","Desde la perspectiva clínica, percepción de imágenes sin estímulo visual externo. Relevante para alucinación visual en psicología clínica.","Un paciente presenta alucinación visual y requiere evaluación clínica para diagnóstico y tratamiento.","","","alto","APA (2022). DSM-5-TR.; Beck (2011). Cognitive Therapy.","2.0.0","2026-03-29"
"PSY-00056","Ambivalencia afectiva","Psicología Clínica","Coexistencia de sentimientos opuestos hacia un mismo objeto","Desde la perspectiva clínica, coexistencia de sentimientos opuestos hacia un mismo objeto. Relevante para ambivalencia afectiva en psicología clínica.","Un paciente presenta ambivalencia afectiva y requiere evaluación clínica para diagnóstico y tratamiento.","","","alto","APA (2022). DSM-5-TR.; Beck (2011). Cognitive Therapy.","2.0.0","2026-03-29"
"PSY-00057","Ansiedad anticipatoria","Psicología Clínica","Miedo intenso ante expectativa de evento futuro temido","Desde la perspectiva clínica, miedo intenso ante expectativa de evento futuro temido. Relevante para ansiedad anticipatoria en psicología clínica.","Un paciente presenta ansiedad anticipatoria y requiere evaluación clínica para diagnóstico y tratamiento.","","","alto","APA (2022). DSM-5-TR.; Beck (2011). Cognitive Therapy.","2.0.0","2026-03-29"
"PSY-00058","Ansiedad flotante","Psicología Clínica","Estado ansioso difuso sin objeto específico","Desde la perspectiva clínica, estado ansioso difuso sin objeto específico. Relevante para ansiedad flotante en psicología clínica.","Un paciente presenta ansiedad flotante y requiere evaluación clínica para diagnóstico y tratamiento.","","","alto","APA (2022). DSM-5-TR.; Beck (2011). Cognitive Therapy.","2.0.0","2026-03-29"
"PSY-00059","Apego ansioso","Psicología Clínica","Patrón vincular con dependencia e inseguridad relacional","Desde la perspectiva clínica, patrón vincular con dependencia e inseguridad relacional. Relevante para apego ansioso en psicología clínica.","Un paciente presenta apego ansioso y requiere evaluación clínica para diagnóstico y tratamiento.","","","alto","APA (2022). DSM-5-TR.; Beck (2011). Cognitive Therapy.","2.0.0","2026-03-29"
"PSY-00060","Apego desorganizado","Psicología Clínica","Patrón vincular caótico con conductas contradictorias","Desde la perspectiva clínica, patrón vincular caótico con conductas contradictorias. Relevante para apego desorganizado en psicología clínica.","Un paciente presenta apego desorganizado y requiere evaluación clínica para diagnóstico y tratamiento.","","","alto","APA (2022). DSM-5-TR.; Beck (2011). Cognitive Therapy.","2.0.0","2026-03-29"
"PSY-00061","Apego evitativo","Psicología Clínica","Patrón vincular con supresión de necesidades afectivas","Desde la perspectiva clínica, patrón vincular con supresión de necesidades afectivas. Relevante para apego evitativo en psicología clínica.","Un paciente presenta apego evitativo y requiere evaluación clínica para diagnóstico y tratamiento.","","","alto","APA (2022). DSM-5-TR.; Beck (2011). Cognitive Therapy.","2.0.0","2026-03-29"
"PSY-00062","Autoagresión","Psicología Clínica","Conducta deliberada de infligirse daño sin intención suicida","Desde la perspectiva clínica, conducta deliberada de infligirse daño sin intención suicida. Relevante para autoagresión en psicología clínica.","Un paciente presenta autoagresión y requiere evaluación clínica para diagnóstico y tratamiento.","","","alto","APA (2022). DSM-5-TR.; Beck (2011). Cognitive Therapy.","2.0.0","2026-03-29"
"PSY-00063","Beneficio secundario","Psicología Clínica","Ganancia inconsciente del mantenimiento de síntomas","Desde la perspectiva clínica, ganancia inconsciente del mantenimiento de síntomas. Relevante para beneficio secundario en psicología clínica.","Un paciente presenta beneficio secundario y requiere evaluación clínica para diagnóstico y tratamiento.","","","alto","APA (2022). DSM-5-TR.; Beck (2011). Cognitive Therapy.","2.0.0","2026-03-29"
"PSY-00064","Bloqueo emocional","Psicología Clínica","Incapacidad transitoria de acceder o expresar emociones","Desde la perspectiva clínica, incapacidad transitoria de acceder o expresar emociones. Relevante para bloqueo emocional en psicología clínica.","Un paciente presenta bloqueo emocional y requiere evaluación clínica para diagnóstico y tratamiento.","","","alto","APA (2022). DSM-5-TR.; Beck (2011). Cognitive Therapy.","2.0.0","2026-03-29"
"PSY-00065","Burnout","Psicología Clínica","Agotamiento emocional, despersonalización y baja realización profesional","Desde la perspectiva clínica, agotamiento emocional, despersonalización y baja realización profesional. Relevante para burnout en psicología clínica.","Un paciente presenta burnout y requiere evaluación clínica para diagnóstico y tratamiento.","","","alto","APA (2022). DSM-5-TR.; Beck (2011). Cognitive Therapy.","2.0.0","2026-03-29"
"PSY-00066","Catarsis emocional","Psicología Clínica","Liberación intensa de emociones reprimidas con efecto terapéutico","Desde la perspectiva clínica, liberación intensa de emociones reprimidas con efecto terapéutico. Relevante para catarsis emocional en psicología clínica.","Un paciente presenta catarsis emocional y requiere evaluación clínica para diagnóstico y tratamiento.","","","alto","APA (2022). DSM-5-TR.; Beck (2011). Cognitive Therapy.","2.0.0","2026-03-29"
"PSY-00067","Celos patológicos","Psicología Clínica","Preocupación delirante por infidelidad de la pareja","Desde la perspectiva clínica, preocupación delirante por infidelidad de la pareja. Relevante para celos patológicos en psicología clínica.","Un paciente presenta celos patológicos y requiere evaluación clínica para diagnóstico y tratamiento.","","","alto","APA (2022). DSM-5-TR.; Beck (2011). Cognitive Therapy.","2.0.0","2026-03-29"
"PSY-00068","Claustrofobia","Psicología Clínica","Miedo irracional a espacios cerrados","Desde la perspectiva clínica, miedo irracional a espacios cerrados. Relevante para claustrofobia en psicología clínica.","Un paciente presenta claustrofobia y requiere evaluación clínica para diagnóstico y tratamiento.","","","alto","APA (2022). DSM-5-TR.; Beck (2011). Cognitive Therapy.","2.0.0","2026-03-29"
